Team,Date,Opp,Result,Touchdown,Passes Completed,Passes attempted,Inc,Percentage of Passes Completed,Yards,TD.1,Interceptions,Percentage of Touchdowns Thrown when Attempting to Pass,Percentage of Times Intercepted when Attempting to Pass,Quarterback Rating,Times Sacked,Yds.1,Percentage of Time Sacked when Attempting to Pass: Times Sacked / (Passes Attempted + Times Sacked),Yards per Attempt,Net Yards Gained Per Attempt,Adjusted Yards gained per pass attempt,Adjusted Net Yards per Pass Attempt,Yards gained per pass completion (Passing Yards) / (Passes Completed)
NOR,20/10/2022,ARI,L 34-42,4,32,49,17,65.3,409,4,3,8.2,6.1,93,0,0,0,8.3,8.35,7.22,7.22,12.8
KAN,10/10/2022,LVR,W 30-29,4,29,43,14,67.4,265,4,0,9.3,0,117.6,3,27,6.52,6.2,5.76,8.02,7.5,9.1
BUF,09/10/2022,PIT,W 38-3,4,22,36,14,61.1,432,4,1,11.1,2.8,128.5,0,0,0,12,12,12.97,12.97,19.6
DET,02/10/2022,SEA,L 45-48,4,27,40,13,67.5,375,4,1,10,2.5,121.2,1,9,2.44,9.4,9.15,10.25,10,13.9
BAL,25/09/2022,NWE,W 37-26,4,18,29,11,62.1,206,4,1,13.8,3.4,110.3,4,12,12.12,7.1,6.24,8.31,7.3,11.4
BUF,19/09/2022,TEN,W 41-7,4,26,40,14,65,313,4,0,10,0,122.6,1,4,2.44,7.8,7.63,9.83,9.59,12
DET,18/09/2022,WAS,W 36-27,4,20,34,14,58.8,234,4,0,11.8,0,121.7,3,22,8.11,6.9,6.32,9.24,8.49,11.7
NYJ,18/09/2022,CLE,W 31-30,4,27,45,18,60,309,4,0,8.9,0,111.7,2,15,4.26,6.9,6.57,8.64,8.28,11.4
WAS,11/09/2022,JAX,W 28-22,4,27,41,14,65.9,305,4,2,9.8,4.9,101,1,8,2.38,7.4,7.26,7.2,7.02,11.3
HOU,08/01/2023,IND,W 32-31,3,24,40,16,60,301,3,2,7.5,5,88.6,1,10,2.44,7.5,7.34,6.78,6.61,12.5
LAC,08/01/2023,DEN,L 28-31,3,30,44,14,68.2,293,3,0,6.8,0,109.8,1,5,2.22,6.7,6.51,8.02,7.84,9.8
NWE,08/01/2023,BUF,L 23-35,3,26,40,14,65,234,3,3,7.5,7.5,75.3,1,9,2.44,5.9,5.71,3.98,3.88,9
SFO,08/01/2023,ARI,W 38-13,3,15,20,5,75,142,3,0,15,0,141.2,4,36,16.67,7.1,5.92,10.1,8.42,9.5
BUF,08/01/2023,NWE,W 35-23,3,19,31,12,61.3,237,3,1,9.7,3.2,106.1,2,17,6.06,7.6,7.18,8.13,7.64,12.5
DEN,08/01/2023,LAC,W 31-28,3,13,24,11,54.2,266,3,1,12.5,4.2,118.6,2,17,7.69,11.1,10.23,11.71,10.81,20.5
TAM,01/01/2023,CAR,W 30-24,3,34,45,11,75.6,411,3,0,6.7,0,127.3,3,21,6.25,9.1,8.56,10.47,9.81,12.1
CAR,01/01/2023,TAM,L 24-30,3,23,37,14,62.2,326,3,1,8.1,2.7,108.1,2,15,5.13,8.8,8.36,9.22,8.74,14.2
KAN,01/01/2023,DEN,W 27-24,3,29,42,13,69,328,3,1,7.1,2.4,106.1,0,0,0,7.8,7.81,8.17,8.17,11.3
CLE,01/01/2023,WAS,W 24-10,3,9,18,9,50,155,3,0,16.7,0,122.5,5,14,21.74,8.6,6.74,11.94,9.35,17.2
LVR,01/01/2023,SFO,L 34-37 (OT),3,23,34,11,67.6,365,3,2,8.8,5.9,108.1,0,0,0,10.7,10.74,9.85,9.85,15.9
DET,01/01/2023,CHI,W 41-10,3,21,29,8,72.4,239,3,0,10.3,0,133.5,2,16,6.45,8.2,7.71,10.31,9.65,11.4
DET,24/12/2022,CAR,L 23-37,3,25,42,17,59.5,336,3,0,7.1,0,110.7,2,19,4.55,8,7.64,9.43,9,13.4
WAS,24/12/2022,SFO,L 20-37,3,25,34,9,73.5,270,3,1,8.8,2.9,115.9,2,19,5.56,7.9,7.5,8.38,7.92,10.8
MIN,24/12/2022,NYG,W 27-24,3,34,48,14,70.8,270,3,0,6.3,0,107.9,4,29,7.69,5.6,5.19,6.88,6.35,7.9
DAL,24/12/2022,PHI,W 40-34,3,27,35,8,77.1,304,3,1,8.6,2.9,124.3,6,43,14.63,8.7,7.41,9.11,7.78,11.3
CIN,24/12/2022,NWE,W 22-18,3,40,52,12,76.9,369,3,2,5.8,3.8,99.4,2,6,3.7,7.1,6.83,6.52,6.28,9.2
NOR,18/12/2022,ATL,W 21-18,3,13,19,6,68.4,214,3,0,15.8,0,149.3,2,17,9.52,11.3,10.19,14.42,13.05,16.5
DAL,18/12/2022,JAX,L 34-40 (OT),3,23,30,7,76.7,243,3,2,10,6.7,107.1,3,13,9.09,8.1,7.36,7.1,6.45,10.6
TAM,18/12/2022,CIN,L 23-34,3,30,44,14,68.2,304,3,2,6.8,4.5,92.2,1,8,2.22,6.9,6.76,6.23,6.09,10.1
LVR,18/12/2022,NWE,W 30-24,3,20,38,18,52.6,211,3,1,7.9,2.6,86.6,3,20,7.32,5.6,5.15,5.95,5.51,10.6
KAN,11/12/2022,DEN,W 34-28,3,28,42,14,66.7,342,3,3,7.1,7.1,86.6,2,10,4.55,8.1,7.77,6.36,6.07,12.2
SEA,11/12/2022,CAR,L 24-30,3,21,36,15,58.3,241,3,2,8.3,5.6,85.9,3,23,7.69,6.7,6.18,5.86,5.41,11.5
DET,11/12/2022,MIN,W 34-23,3,27,39,12,69.2,330,3,0,7.7,0,120.7,0,0,0,8.5,8.46,10,10,12.2
JAX,11/12/2022,TEN,W 36-22,3,30,42,12,71.4,368,3,0,7.1,0,121.9,0,0,0,8.8,8.76,10.19,10.19,12.3
DAL,04/12/2022,IND,W 54-19,3,20,30,10,66.7,165,3,1,10,3.3,100.7,1,5,3.23,5.5,5.32,6,5.81,8.3
PHI,04/12/2022,TEN,W 35-10,3,30,41,11,73.2,386,3,0,7.3,0,127.2,2,5,4.65,9.4,8.98,10.88,10.37,12.9
SEA,04/12/2022,LAR,W 27-23,3,28,39,11,71.8,348,3,1,7.7,2.6,116.1,4,19,9.3,8.9,8.09,9.31,8.44,12.4
LVR,27/11/2022,SEA,W 40-34 (OT),3,25,36,11,69.4,293,3,2,8.3,5.6,98.7,1,2,2.7,8.1,7.92,7.31,7.11,11.7
LAC,27/11/2022,ARI,W 25-24,3,35,47,12,74.5,246,3,0,6.4,0,109.7,4,28,7.84,5.2,4.82,6.51,6,7
JAX,27/11/2022,BAL,W 28-27,3,29,37,8,78.4,294,3,0,8.1,0,129.8,4,27,9.76,7.9,7.17,9.57,8.63,10.1
NYJ,27/11/2022,CHI,W 31-10,3,22,29,7,75.9,308,3,0,10.3,0,145,1,7,3.33,10.6,10.27,12.69,12.27,14
GNB,27/11/2022,PHI,L 33-40,3,17,25,8,68,236,3,2,12,8,107.2,3,17,10.71,9.4,8.43,8.24,7.36,13.9
MIN,24/11/2022,NWE,W 33-26,3,31,38,7,81.6,301,3,1,7.9,2.6,116,1,9,2.56,7.9,7.72,8.32,8.1,9.7
CLE,20/11/2022,BUF,L 23-31,3,28,41,13,68.3,316,3,0,7.3,0,116.3,1,8,2.38,7.7,7.52,9.17,8.95,11.3
KAN,20/11/2022,LAC,W 30-27,3,20,34,14,58.8,322,3,0,8.8,0,120.8,1,7,2.86,9.5,9.2,11.24,10.91,16.1
NOR,20/11/2022,LAR,W 27-20,3,22,28,6,78.6,235,3,0,10.7,0,143.2,4,39,12.5,8.4,7.34,10.54,9.22,10.7
TEN,17/11/2022,GNB,W 27-17,3,24,29,5,82.8,320,3,1,10.3,3.4,135.2,3,17,9.38,11,10,11.55,10.47,13.3
GNB,13/11/2022,DAL,W 31-28 (OT),3,14,20,6,70,208,3,0,15,0,146.7,2,16,9.09,10.4,9.45,13.4,12.18,14.9
DAL,13/11/2022,GNB,L 28-31 (OT),3,27,46,19,58.7,262,3,2,6.5,4.3,78.6,2,3,4.17,5.7,5.46,5.04,4.83,9.7
